r_A,rdf_Nd1_O,rdf_Ne2_O,rdf_Nd1_H,rdf_Ne2_H
6.675000000000000711e+00,2.691332992359693477e-01,3.447044388355737232e-01,2.656023958932234308e-01,3.259710349893382708e-01
6.724999999999999645e+00,2.694461421849315141e-01,3.445258095608295656e-01,2.677551586854743371e-01,3.257558927168550666e-01
6.775000000000000355e+00,2.736239402689942812e-01,3.412206687279316641e-01,2.705535254904017362e-01,3.284867779795050957e-01
6.825000000000001066e+00,2.742734335718951533e-01,3.444953131780397193e-01,2.676124403160016763e-01,3.252863220633328556e-01
6.875000000000000000e+00,2.791744143427406510e-01,3.384856866728840896e-01,2.696975547732321510e-01,3.235769685696328613e-01
6.925000000000000711e+00,2.731072315057981315e-01,3.352101938919180846e-01,2.702367350785599975e-01,3.227713760405528931e-01
6.974999999999999645e+00,2.726191195174429982e-01,3.241338032219746590e-01,2.795805632612986535e-01,3.157351581890649461e-01
7.025000000000000355e+00,2.784485800758217389e-01,3.237866856566201657e-01,2.810608342059653930e-01,3.180087337246922385e-01
7.075000000000001066e+00,2.792412401852973902e-01,3.194009933462281237e-01,2.821877438139526739e-01,3.151885844548913407e-01
7.125000000000000000e+00,2.802425519433282552e-01,3.293097473381054185e-01,2.905509671161783936e-01,3.173872796851639477e-01
7.175000000000000711e+00,2.844995307731585932e-01,3.264338193609372940e-01,2.930943621891759499e-01,3.099656979317286232e-01
7.224999999999999645e+00,2.866867580124058401e-01,3.268706224731898202e-01,2.942212325988028399e-01,3.146480303663680145e-01
7.275000000000000355e+00,2.922963930807012112e-01,3.227645764272488726e-01,3.032162230199449415e-01,3.086451743886048371e-01
7.325000000000001066e+00,2.876273402659910161e-01,3.162149649108622618e-01,3.048124935425375326e-01,3.106155370067742449e-01
7.375000000000000000e+00,2.941854739832615584e-01,3.233911054984645039e-01,3.091297586100228978e-01,3.054137738574008165e-01
7.425000000000000711e+00,2.949134982707196095e-01,3.231326100525704903e-01,3.088843366177735916e-01,3.061694361162893840e-01
7.474999999999999645e+00,2.985677748857144542e-01,3.159304588476342102e-01,3.086764546248050856e-01,3.024978418635814181e-01
